OBJECTID,NR_STIMMBEZIRK800,WLK_NAME,WLK_ADRESSE,ROLLSTUHLGERECHT,WLK_BEMERKUNG,ABSTIMMBEZIRK,WLK_STADTTEIL,POSTZUSTELLBEZIRK,AD_NUMMER,KOORX,KOORY,STIMMBEZIRK_STADTTEIL,KOMMUNALWAHLBEZIRK,LANDTAGSWAHLKREIS,BUNDESTAGSWAHLKREIS
183,20505,Pfarrheim St. Pius,Irmgardstr. 13,1,,20505,Zollstock,50969,01622001300,772921.0164,6605621.8123,Zollstock,13,13,94
184,30322,Apostelgymnasium,Biggestr. 2,1,,30322,Lindenthal,50931,00463000200,769849.5122,6609350.8636,Lindenthal,18,14,94
185,40103,GGS Lindenbornstr.,Lindenbornstr. 15,1,,40103,Ehrenfeld,50823,02024001500,769732.324,6611675.3937,Ehrenfeld,22,15,95
186,30502,GGS Wendelinstr.,Wendelinstr. 64,1,,30502,Müngersdorf,50933,03289006400,765907.0729,6610941.2182,Müngersdorf,19,14,94
187,80806,KGS Forststr.,Forststr. 20,1,,80806,Rath/Heumar,51107,04553002000,788639.2006,6606586.8158,Rath/Heumar,41,17,93
188,50705,Joseph-DuMont-Berufskolleg,Escher Str. 217,1,,50705,Bilderstöckchen,50739,00898021700,771566.0543,6615212.7345,Bilderstöckchen,31,15,95
189,90704,Schule Berliner Str.,Berliner Str. 975,1,,90704,Dünnwald,51069,00436097500,783801.2737,6621656.5675,Dünnwald,38,19,101
190,40203,Seniorenzentrum,Peter-Bauer-Str. 2,1,,40203,Neuehrenfeld,50823,02498000200,771419.5751,6612531.411,Neuehrenfeld,23,15,95
191,20904,Albert-Schweitzer-Schule,Zum Hedelsberg 13,1,,20904,Weiß,50999,05743001300,782189.5434,6599081.0057,Weiß,14,13,94
192,30503,GGS Wendelinstr.,Wendelinstr. 64,1,,30503,Müngersdorf,50933,03289006400,765907.0729,6610941.2182,Müngersdorf,19,14,94
193,71601,Bürgerzentrum Finkenberg e.V.,Stresemannstr. 6a,1,,71601,Finkenberg,51149,05551000601,786246.2174,6603217.9796,Finkenberg,08,17,93
194,30215,Elsa-Brandström-Realschule,Berrenrather Str. 488,1,,30215,Sülz,50937,00444048800,769583.2235,6604950.0438,Sülz,17,14,94
195,60602,Erich-Ohser-Schule,Schulstr. 16,1,,60602,Pesch,50767,05466001600,765005.609,6620755.9575,Pesch,28,16,95
196,20804,Bezirksrathaus Rodenkirchen,Hauptstr. 85,1,,20804,Rodenkirchen,50996,04714008500,778929.3697,6602262.2785,Rodenkirchen,12,13,94
197,30307,GGS Bachemer Str.,Bachemer Str. 69,1,,30307,Lindenthal,50931,00362006900,770251.7902,6608797.4147,Lindenthal,18,14,94
198,10111,AWO Arnold-Overzier-Haus,Severinswall 43,1,,10111,Altstadt/Süd,50678,02881004300,775268.2678,6607767.1123,Altstadt/Süd,01,13,94
